,0,1
247,"(202, 1.7799999999999994, -1.0)","(-2262.119995, 3)"
248,"(178, 1.8599999999999994, -1.0)","(-2262.119995, 3)"
249,"(210, 1.6999999999999993, -0.92000000000000004)","(-2262.119995, 3)"
250,"(202, 1.7799999999999994, -0.92000000000000004)","(-2262.119995, 3)"
251,"(186, 1.8599999999999994, -1.0)","(-2262.119995, 3)"
252,"(202, 1.7799999999999994, -0.84000000000000008)","(-2262.119995, 3)"
253,"(194, 1.8599999999999994, -0.92000000000000004)","(-2262.119995, 3)"
254,"(210, 1.7799999999999994, -0.92000000000000004)","(-2262.119995, 3)"
255,"(186, 1.8599999999999994, -0.92000000000000004)","(-2262.119995, 3)"
256,"(186, 1.8599999999999994, -0.84000000000000008)","(-2262.119995, 3)"
257,"(146, 1.6199999999999994, -0.92000000000000004)","(-2258.560058, 5)"
258,"(138, 1.6999999999999993, -0.92000000000000004)","(-2258.560058, 5)"
259,"(138, 1.6999999999999993, -0.84000000000000008)","(-2258.560058, 5)"
260,"(146, 1.6199999999999994, -0.84000000000000008)","(-2258.560058, 5)"
261,"(138, 1.6999999999999993, -1.0)","(-2258.560058, 5)"
262,"(162, 1.4599999999999995, -0.84000000000000008)","(-2253.1400140000001, 5)"
263,"(162, 1.5399999999999996, -0.84000000000000008)","(-2253.1400140000001, 5)"
264,"(186, 1.9399999999999993, -1.0)","(-2251.9499509999996, 3)"
265,"(186, 1.9399999999999993, -0.76000000000000012)","(-2251.9499509999996, 3)"
266,"(178, 2.0199999999999991, -1.0)","(-2251.9499509999996, 3)"
267,"(194, 1.9399999999999993, -0.92000000000000004)","(-2251.9499509999996, 3)"
268,"(178, 2.0199999999999991, -0.92000000000000004)","(-2251.9499509999996, 3)"
269,"(178, 1.9399999999999993, -1.0)","(-2251.9499509999996, 3)"
270,"(210, 1.8599999999999994, -0.84000000000000008)","(-2251.9499509999996, 3)"
271,"(186, 1.9399999999999993, -0.84000000000000008)","(-2251.9499509999996, 3)"
272,"(202, 1.8599999999999994, -1.0)","(-2251.9499509999996, 3)"
273,"(186, 1.9399999999999993, -0.92000000000000004)","(-2251.9499509999996, 3)"
274,"(210, 1.8599999999999994, -0.92000000000000004)","(-2251.9499509999996, 3)"
275,"(202, 1.8599999999999994, -0.84000000000000008)","(-2251.9499509999996, 3)"
276,"(178, 1.9399999999999993, -0.92000000000000004)","(-2251.9499509999996, 3)"
277,"(194, 1.9399999999999993, -1.0)","(-2251.9499509999996, 3)"
278,"(194, 1.9399999999999993, -0.84000000000000008)","(-2251.9499509999996, 3)"
279,"(202, 1.8599999999999994, -0.92000000000000004)","(-2251.9499509999996, 3)"
280,"(146, 1.7799999999999994, -0.84000000000000008)","(-2250.9200430000001, 5)"
281,"(146, 1.6999999999999993, -0.92000000000000004)","(-2250.9200430000001, 5)"
282,"(130, 1.7799999999999994, -0.84000000000000008)","(-2250.9200430000001, 5)"
283,"(130, 1.7799999999999994, -1.0)","(-2250.9200430000001, 5)"
284,"(146, 1.7799999999999994, -0.92000000000000004)","(-2250.9200430000001, 5)"
